date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:08:41	242193/242193	---M--	200	added ('OK')	text/html	etag:%2297dbb874e63bb54600f960ed484eeae2%22	http://pointy-oasis-brake.glitch.me/pack.shtml	F:/Shared/phishing_websites/phishing33/phishing33/pointy-oasis-brake.glitch.me/pack.html	(from )
21:08:42	3672/3672	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2020%20Feb%202023%2013:08:39%20GMT	http://pointy-oasis-brake.glitch.me/robots.txt		(from )
21:08:43	85578/85578	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/2.2.4/jquery.min.js	F:/Shared/phishing_websites/phishing33/phishing33/ajax.googleapis.com/ajax/libs/jquery/2.2.4/jquery.min.js	(from http://pointy-oasis-brake.glitch.me/pack.shtml)
21:08:44	86709/86709	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-152b5%22	https://code.jquery.com/jquery-3.1.1.min.js	F:/Shared/phishing_websites/phishing33/phishing33/code.jquery.com/jquery-3.1.1.min.js	(from http://pointy-oasis-brake.glitch.me/pack.shtml)
21:08:45	54641/54641	---MCZ	200	added ('OK')	text/css	etag:W/%22251d28bd755f5269a4531df8a81d5664%22	https://use.fontawesome.com/releases/v5.7.0/css/all.css	F:/Shared/phishing_websites/phishing33/phishing33/use.fontawesome.com/releases/v5.7.0/css/all.css	(from http://pointy-oasis-brake.glitch.me/pack.shtml)
21:08:45	271751/271751	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-42587%22	https://code.jquery.com/jquery-3.3.1.js	F:/Shared/phishing_websites/phishing33/phishing33/code.jquery.com/jquery-3.3.1.js	(from http://pointy-oasis-brake.glitch.me/pack.shtml)
21:08:46	14816/14816	---M--	200	added ('OK')	image/jpeg	etag:%2274ed54be49899f8f9b46e6b09af92df0%22	https://i.imgur.com/SyO5Weq.jpg	F:/Shared/phishing_websites/phishing33/phishing33/i.imgur.com/SyO5Weq.jpg	(from http://pointy-oasis-brake.glitch.me/pack.shtml)
21:08:47	69597/69597	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-10fdd%22	https://code.jquery.com/jquery-3.2.1.slim.min.js	F:/Shared/phishing_websites/phishing33/phishing33/code.jquery.com/jquery-3.2.1.slim.min.js	(from http://pointy-oasis-brake.glitch.me/pack.shtml)
21:08:48	19188/19188	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03fa9-4af4%22	https://cdnjs.cloudflare.com/ajax/libs/popper.js/1.12.9/umd/popper.min.js	F:/Shared/phishing_websites/phishing33/phishing33/cdnjs.cloudflare.com/ajax/libs/popper.js/1.12.9/umd/popper.min.js	(from http://pointy-oasis-brake.glitch.me/pack.shtml)
21:08:48	3672/3672	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2020%20Feb%202023%2013:08:47%20GMT	http://pointy-oasis-brake.glitch.me/next.php	F:/Shared/phishing_websites/phishing33/phishing33/pointy-oasis-brake.glitch.me/next.php	(from http://pointy-oasis-brake.glitch.me/pack.shtml)
21:08:48	48944/48944	---MCZ	200	added ('OK')	application/javascript	etag:W/%2214d449eb8876fa55e1ef3c2cc52b0c17%22	https://maxcdn.bootstrapcdn.com/bootstrap/4.0.0/js/bootstrap.min.js	F:/Shared/phishing_websites/phishing33/phishing33/maxcdn.bootstrapcdn.com/bootstrap/4.0.0/js/bootstrap.min.js	(from http://pointy-oasis-brake.glitch.me/pack.shtml)
